F2 Ground,F2 Clinch,F2 Distance,F2 Leg,F2 Body,F2 Head,F1 Ground,F1 Clinch,F1 Distance,F1 Leg,F1 Body,F1 Head,F2 Control Time,F2 Reversals,F2 Sub Attacks,F2 Takedown Perc,F2 Takedowns,F2 Total Strikes,F2 Sig Strike Perc,F2 Sig Strikes,F2 Knockdowns,F1 Control Time,F1 Reversals,F1 Sub Attacks,F1 Takedown Perc,F1 Takedowns,F1 Total Strikes,F1 Sig Strike Perc,F1 Sig Strikes,F1 Knockdowns,Round,Fight Link
2 of 3,0 of 0,0 of 3,0 of 0,0 of 0,2 of 6,4 of 9,0 of 0,1 of 2,0 of 0,1 of 1,4 of 10,0:15,0,0,100%,1 of 1,29 of 35,33%,2 of 6,0,4:36,0,0,100%,1 of 1,35 of 45,45%,5 of 11,0,3,http://ufcstats.com/fight-details/81c5c897717a1ef6
0 of 0,5 of 8,9 of 45,1 of 1,3 of 5,10 of 47,0 of 0,0 of 1,14 of 59,1 of 2,4 of 5,9 of 53,0:00,0,0,---,0 of 0,14 of 53,26%,14 of 53,0,0:09,0,0,100%,1 of 1,15 of 61,23%,14 of 60,0,1,http://ufcstats.com/fight-details/ba75be28158d424c
0 of 0,2 of 4,14 of 47,1 of 2,7 of 9,8 of 40,1 of 1,0 of 1,15 of 37,3 of 3,3 of 4,10 of 32,0:00,0,0,0%,0 of 1,22 of 57,31%,16 of 51,0,0:46,0,0,50%,2 of 4,17 of 40,41%,16 of 39,0,2,http://ufcstats.com/fight-details/ba75be28158d424c
0 of 0,5 of 14,16 of 51,0 of 1,4 of 6,17 of 58,1 of 1,7 of 13,20 of 53,1 of 1,3 of 6,24 of 60,0:00,0,0,0%,0 of 6,24 of 68,32%,21 of 65,0,0:43,0,0,100%,1 of 1,36 of 77,41%,28 of 67,0,3,http://ufcstats.com/fight-details/ba75be28158d424c
0 of 0,2 of 5,17 of 34,2 of 2,6 of 8,11 of 29,2 of 2,4 of 4,26 of 46,0 of 0,2 of 2,30 of 50,0:34,0,0,50%,2 of 4,27 of 48,48%,19 of 39,0,1:38,0,0,100%,1 of 1,45 of 65,61%,32 of 52,0,1,http://ufcstats.com/fight-details/e7861d4e2b29193f
0 of 0,12 of 20,8 of 17,1 of 1,2 of 4,17 of 32,7 of 9,13 of 16,16 of 20,0 of 0,1 of 1,35 of 44,0:26,0,0,0%,0 of 4,30 of 48,54%,20 of 37,0,3:13,0,1,100%,1 of 1,55 of 64,80%,36 of 45,0,2,http://ufcstats.com/fight-details/e7861d4e2b29193f
1 of 3,7 of 7,6 of 8,3 of 3,4 of 4,7 of 11,2 of 2,0 of 1,9 of 18,0 of 0,3 of 4,8 of 17,0:03,1,0,---,0 of 0,31 of 35,77%,14 of 18,0,3:01,0,0,66%,2 of 3,21 of 31,52%,11 of 21,0,1,http://ufcstats.com/fight-details/c63a050af0692daf
0 of 2,0 of 0,3 of 6,0 of 0,1 of 1,2 of 7,5 of 6,0 of 0,1 of 2,0 of 0,2 of 2,4 of 6,0:00,0,0,---,0 of 0,20 of 25,37%,3 of 8,0,4:22,0,0,66%,2 of 3,24 of 28,75%,6 of 8,0,2,http://ufcstats.com/fight-details/c63a050af0692daf
1 of 1,5 of 6,8 of 10,1 of 1,4 of 4,9 of 12,2 of 2,0 of 0,2 of 6,0 of 0,0 of 0,4 of 8,0:00,0,0,---,0 of 0,34 of 38,82%,14 of 17,0,3:25,0,0,50%,2 of 4,13 of 17,50%,4 of 8,0,3,http://ufcstats.com/fight-details/c63a050af0692daf
1 of 1,5 of 7,20 of 56,4 of 6,10 of 17,12 of 41,3 of 4,2 of 2,18 of 33,7 of 8,3 of 4,13 of 27,0:07,0,0,0%,0 of 1,33 of 71,40%,26 of 64,0,1:00,0,0,100%,2 of 2,27 of 44,58%,23 of 39,0,1,http://ufcstats.com/fight-details/ca263e46051261e2
